id,cod,start,yearstart,fin,yearfin,dur_months,words,ctte
139,2000/0060(COD),23/03/2000,2000,18/02/2002,2002,23,3876,13
140,2000/0062(COD),14/03/2000,2000,23/07/2001,2001,16,2836,25
141,2000/0065(COD),21/03/2000,2000,19/12/2001,2001,21,5318,14
142,2000/0066(COD),21/03/2000,2000,19/12/2001,2001,21,6384,14
143,2000/0067(COD),21/03/2000,2000,18/02/2002,2002,23,9193,13
144,2000/0068(COD),21/03/2000,2000,23/07/2001,2001,16,3748,10
145,2000/0069(COD),24/03/2000,2000,12/12/2006,2006,81,3217,13
146,2000/0070(COD),28/04/2000,2000,05/06/2001,2001,13,2543,9
147,2000/0073(COD),29/03/2000,2000,03/12/2001,2001,20,16215,10
148,2000/0077(COD),05/04/2000,2000,27/02/2003,2003,34,5325,10
149,2000/0080(COD),08/05/2000,2000,10/06/2002,2002,25,4651,10
150,2000/0104(COD),20/06/2000,2000,25/06/2002,2002,24,1743,10
151,2000/0115(COD),10/05/2000,2000,31/03/2004,2004,46,37957,24
152,2000/0116(COD),10/05/2000,2000,27/09/2001,2001,16,9719,11
153,2000/0117(COD),10/05/2000,2000,31/03/2004,2004,46,41322,24
154,2000/0119(COD),16/05/2000,2000,23/09/2002,2002,28,3485,10
155,2000/0121(COD),22/05/2000,2000,04/12/2001,2001,18,16892,13
156,2000/0131(COD),06/06/2000,2000,04/04/2001,2001,10,9519,24
157,2000/0132(COD),24/05/2000,2000,22/09/2003,2003,40,2939,10
158,2000/0136(COD),22/06/2000,2000,19/07/2002,2002,25,6351,10
159,2000/0139(COD),30/05/2000,2000,10/06/2002,2002,24,12655,13
160,2000/0140(COD),20/06/2000,2000,19/01/2001,2001,7,11724,13
161,2000/0142(COD),07/06/2000,2000,23/09/2002,2002,27,6727,21
162,2000/0145(COD),06/06/2000,2000,13/05/2002,2002,23,4020,13
163,2000/0157(COD),16/06/2000,2000,07/12/2001,2001,18,4885,9
164,2000/0158(COD),13/06/2000,2000,27/01/2003,2003,31,26969,10
165,2000/0159(COD),13/06/2000,2000,27/01/2003,2003,31,24681,10
166,2000/0162(COD),28/06/2000,2000,05/11/2002,2002,28,29345,24
167,2000/0169(COD),29/06/2000,2000,28/01/2003,2003,31,12084,10
168,2000/0170(COD),06/07/2000,2000,28/09/2000,2000,2,416,10
169,2000/0174(COD),20/07/2000,2000,28/05/2001,2001,10,2420,24
170,2000/0175(COD),06/07/2000,2000,28/09/2000,2000,2,487,10
171,2000/0178(COD),14/07/2000,2000,29/04/2004,2004,45,10149,10
172,2000/0179(COD),14/07/2000,2000,29/04/2004,2004,45,7644,10
173,2000/0182(COD),14/07/2000,2000,21/04/2004,2004,45,7606,10
174,2000/0183(COD),12/07/2000,2000,07/03/2002,2002,20,12013,24
175,2000/0184(COD),12/07/2000,2000,07/03/2002,2002,20,11440,11
176,2000/0185(COD),12/07/2000,2000,18/12/2000,2000,5,2158,11
177,2000/0186(COD),12/07/2000,2000,07/03/2002,2002,20,8295,11
178,2000/0187(COD),17/07/2000,2000,07/03/2002,2002,20,6051,11
179,2000/0188(COD),12/07/2000,2000,07/03/2002,2002,20,6886,11
180,2000/0189(COD),12/07/2000,2000,12/07/2002,2002,24,8280,19
181,2000/0192(COD),25/07/2000,2000,26/02/2001,2001,7,3132,10
182,2000/0194(COD),26/07/2000,2000,25/06/2002,2002,23,7581,10
183,2000/0195(COD),20/07/2000,2000,10/06/2002,2002,23,4496,9
184,2000/0201(COD),20/07/2000,2000,12/03/2001,2001,8,5202,8
185,2000/0211(COD),06/09/2000,2000,07/12/2001,2001,15,2476,10
186,2000/0212(COD),26/07/2000,2000,23/10/2007,2007,87,11578,13
187,2000/0213(COD),20/09/2000,2000,09/12/2002,2002,27,8852,8
188,2000/0221(COD),18/09/2000,2000,26/05/2003,2003,32,2634,10
189,2000/0227(COD),08/09/2000,2000,30/05/2002,2002,20,1231,10
190,2000/0230(COD),19/10/2000,2000,21/10/2002,2002,24,896,10
191,2000/0233(COD),15/09/2000,2000,31/03/2004,2004,42,8772,11
192,2000/0236(COD),15/09/2000,2000,05/11/2002,2002,26,8571,13
193,2000/0237(COD),15/09/2000,2000,05/11/2002,2002,26,8311,13
194,2000/0241(COD),20/09/2000,2000,12/02/2002,2002,17,894,6
195,2000/0246(COD),27/09/2000,2000,15/07/2002,2002,22,17458,13
196,2000/0249(COD),25/10/2000,2000,05/03/2002,2002,16,3629,8
197,2000/0251(COD),25/10/2000,2000,05/03/2002,2002,16,7929,8
198,2000/0259(COD),19/10/2000,2000,03/10/2002,2002,24,18781,10
199,2000/0260(COD),11/10/2000,2000,03/06/2003,2003,32,11660,8
200,2000/0262(COD),12/10/2000,2000,16/06/2003,2003,32,12770,10
201,2000/0286(COD),08/11/2000,2000,28/01/2002,2002,14,26621,10
202,2000/0291(COD),23/11/2000,2000,19/12/2001,2001,13,1848,15
203,2000/0297(COD),22/11/2000,2000,01/03/2002,2002,15,1940,13
204,2000/0315(COD),07/12/2000,2000,08/04/2003,2003,28,6027,13
205,2000/0323(COD),13/12/2000,2000,27/01/2003,2003,25,8955,10
206,2000/0325(COD),06/12/2000,2000,27/06/2002,2002,18,15617,13
207,2000/0327(COD),06/12/2000,2000,27/06/2002,2002,18,8997,13
208,2000/0328(COD),12/12/2000,2000,22/04/2002,2002,16,3350,11
209,2000/0331(COD),18/01/2001,2001,26/05/2003,2003,28,8475,10
210,2000/0332(COD),22/12/2000,2000,05/06/2001,2001,5,2020,17
211,2000/0336(COD),18/12/2000,2000,09/12/2002,2002,24,8471,10
212,2000/0338(COD),20/12/2000,2000,29/10/2001,2001,10,2867,4
213,2000/0343(COD),19/12/2000,2000,13/06/2003,2003,30,6066,13
214,2001/0004(COD),26/01/2001,2001,17/05/2006,2006,64,12351,12
215,2001/0005(COD),11/01/2001,2001,23/07/2001,2001,6,923,4
216,2001/0006(COD),15/01/2001,2001,23/09/2002,2002,20,6873,8
217,2001/0018(COD) ,15/01/2001,2001,06/02/2003,2003,25,1645,10
218,2001/0023(COD) ,25/01/2001,2001,05/11/2002,2002,21,2594,8
219,2001/0026(COD) ,07/02/2001,2001,18/02/2002,2002,12,2857,13
220,2001/0029(COD) ,24/01/2001,2001,22/07/2002,2002,18,4881,10
221,2001/0033(COD) ,02/02/2001,2001,15/07/2003,2003,29,2449,13
222,2001/0044(COD) ,13/02/2001,2001,19/07/2002,2002,17,4339,24
223,2001/0046(COD) ,14/02/2001,2001,26/05/2003,2003,27,2832,13
224,2001/0048(COD) ,12/02/2001,2001,16/12/2002,2002,22,4152,13
225,2001/0053(COD) ,21/02/2001,2001,27/06/2002,2002,16,4912,11
226,2001/0056(COD) ,21/02/2001,2001,10/06/2002,2002,16,2395,8
227,2001/0060(COD) ,10/10/2001,2001,11/03/2003,2003,17,2495,13
228,2001/0077(COD) ,13/03/2001,2001,26/06/2003,2003,27,11659,11
229,2001/0077A(COD) ,13/03/2001,2001,26/06/2003,2003,27,11659,11
230,2001/0078(COD) ,13/03/2001,2001,26/06/2003,2003,27,8225,11
231,2001/0086(COD) ,27/03/2001,2001,06/06/2002,2002,14,9985,8
232,2001/0095(COD) ,24/04/2001,2001,16/12/2002,2002,20,14189,8
233,2001/0098(COD) ,11/05/2001,2001,16/12/2002,2002,19,9158,11
234,2001/0107(COD) ,11/05/2001,2001,03/03/2003,2003,22,9451,10
235,2001/0110(COD) ,14/05/2001,2001,26/05/2003,2003,24,1892,10
236,2001/0111(COD) ,23/05/2001,2001,29/04/2004,2004,35,19506,19
237,2001/0117(COD) ,30/05/2001,2001,04/11/2003,2003,29,13831,8
238,2001/0118(COD) ,30/05/2001,2001,28/01/2003,2003,20,8468,8
239,2001/0119(COD) ,30/05/2001,2001,26/05/2003,2003,24,7089,24
240,2001/0127(COD) ,13/06/2001,2001,08/10/2002,2002,16,940,9
241,2001/0135(COD) ,14/06/2001,2001,05/11/2002,2002,17,2173,13
242,2001/0138(COD) ,20/06/2001,2001,27/05/2002,2002,11,1228,13
243,2001/0139(COD) ,22/06/2001,2001,01/03/2002,2002,8,4355,10
244,2001/0140(COD) ,20/06/2001,2001,21/04/2004,2004,34,14978,13
245,2001/0140A(COD) ,20/06/2001,2001,22/07/2003,2003,25,14978,13
246,2001/0165(COD),20/07/2001,2001,27/03/2003,2003,20,5290,9
247,2001/0166(COD),23/07/2001,2001,27/02/2003,2003,19,2135,8
248,2001/0173(COD),25/07/2001,2001,22/09/2003,2003,26,17689,10
249,2001/0174(COD),25/07/2001,2001,19/12/2001,2001,5,3440,8
250,2001/0176(COD),01/08/2001,2001,17/11/2003,2003,27,6084,10
251,2001/0177(COD),01/08/2001,2001,17/11/2003,2003,27,6893,10
252,2001/0179(COD),03/08/2001,2001,05/11/2002,2002,15,2245,24
253,2001/0180(COD),25/07/2001,2001,22/09/2003,2003,26,6218,10
254,2001/0185(COD),19/11/2001,2001,16/06/2003,2003,19,4036,8
255,2001/0186(COD),22/08/2001,2001,07/12/2001,2001,4,918,10
256,2001/0197(COD),24/08/2001,2001,22/07/2003,2003,23,1966,11
257,2001/0199(COD),06/09/2001,2001,10/11/2003,2003,26,3221,10
258,2001/0202(COD),10/09/2001,2001,16/12/2002,2002,15,8423,11
259,2001/0210(COD),14/09/2001,2001,21/10/2002,2002,13,2177,11
260,2001/0211(COD),14/09/2001,2001,21/10/2002,2002,13,1833,11
261,2001/0212(COD),14/09/2001,2001,13/10/2003,2003,25,9107,24
262,2001/0226(COD),03/12/2001,2001,21/04/2004,2004,28,2076,6
263,2001/0229(COD),01/10/2001,2001,29/04/2004,2004,30,11394,13
264,2001/0234(COD),10/10/2001,2001,16/12/2002,2002,14,4195,13
265,2001/0235(COD),10/10/2001,2001,10/03/2004,2004,29,4865,13
266,2001/0236(COD),10/10/2001,2001,10/03/2004,2004,29,3281,13
267,2001/0237(COD),10/10/2001,2001,10/03/2004,2004,29,4680,13
268,2001/0241(COD),12/10/2001,2001,15/03/2006,2006,53,12379,13
269,2001/0243(COD),23/10/2001,2001,13/05/2002,2002,7,1166,4
270,2001/0244(COD),16/10/2001,2001,06/02/2003,2003,16,4917,17
271,2001/0245(COD),23/10/2001,2001,13/10/2003,2003,24,12504,10
272,2001/0251(COD),23/10/2001,2001,19/12/2001,2001,2,1135,4
273,2001/0252(COD),26/11/2001,2001,31/03/2004,2004,28,23300,10
274,2001/0253(COD),26/11/2001,2001,31/03/2004,2004,28,16417,10
275,2001/0254(COD),26/11/2001,2001,31/03/2004,2004,28,20096,10
276,2001/0255(COD),24/10/2001,2001,11/02/2004,2004,28,3321,10
277,2001/0257(COD),10/12/2001,2001,16/12/2003,2003,24,5865,10
278,2001/0265(COD),07/11/2001,2001,08/05/2003,2003,18,7638,11
279,2001/0267(COD),07/11/2001,2001,15/04/2002,2002,5,727,10
280,2001/0268(COD),07/11/2001,2001,15/04/2002,2002,5,723,10
